index,mode,in_air,altitude_agl_m,horizontal_distance_to_dock_m,north_m,east_m,down_m,roll_deg,pitch_deg,yaw_deg,target_x_m,target_y_m,target_z_m
0,return_to_launch,True,9.754478454589844,0.15321847623859522,-0.0768231749534607,-0.13256734609603882,-9.754478454589844,0.2569035589694977,0.24553221464157104,90.95415496826172,0.0,2.7755575615628914e-17,0.0
1,return_to_launch,True,9.778666496276855,0.1408784068279554,-0.06976182758808136,-0.12239286303520203,-9.778666496276855,0.36288583278656006,0.20387166738510132,90.91838836669922,0.0,0.0,0.0
2,return_to_launch,True,9.792510986328125,0.131696602989357,-0.058394141495227814,-0.11804287135601044,-9.792510986328125,0.38816404342651367,0.18970870971679688,90.93650817871094,0.0,0.0,0.0
3,return_to_launch,True,9.805792808532715,0.11466771320440938,-0.03547774627804756,-0.10904134064912796,-9.805792808532715,0.5787302255630493,0.19610890746116638,90.9332046508789,0.0,-1.3877787807814457e-17,0.0
4,return_to_launch,True,9.815013885498047,0.10713355442208301,-0.025253163650631905,-0.10411472618579865,-9.815013885498047,0.674440860748291,0.16929134726524353,90.94342041015625,0.0,0.0,0.0
5,return_to_launch,True,9.822563171386719,0.11371451779586088,-0.014946562238037586,-0.11272795498371124,-9.822563171386719,0.6662693023681641,0.04720095917582512,90.8766860961914,-0.016667651057392218,-0.00025505261512479005,0.0
6,return_to_launch,True,9.855635643005371,0.12468658411869701,-0.022872496396303177,-0.12257076799869537,-9.855635643005371,0.5507277846336365,-0.07796225696802139,90.87251281738281,0.0,1.3877787807814457e-17,0.0
7,return_to_launch,True,9.888298034667969,0.1329360390556487,-0.03905152156949043,-0.12707072496414185,-9.888298034667969,0.0636431872844696,-0.9082639813423157,90.94036102294922,-1.3877787807814457e-17,-2.7755575615628914e-17,0.0
8,return_to_launch,True,9.909987449645996,0.15449953586978246,-0.09215942025184631,-0.12400301545858383,-9.909987449645996,-0.8752206563949585,-2.0902910232543945,91.06468963623047,-1.3877787807814457e-17,2.7755575615628914e-17,0.0
9,return_to_launch,True,9.916500091552734,0.15854740685337043,-0.1052006408572197,-0.1186174750328064,-9.916500091552734,-0.6816251873970032,-0.33672380447387695,91.0980453491211,1.3877787807814457e-17,1.3877787807814457e-17,0.0
10,return_to_launch,True,9.898216247558594,0.14329184648816046,-0.10610521584749222,-0.09630283713340759,-9.898216247558594,-0.20391710102558136,0.028697384521365166,91.08451080322266,0.0,1.3877787807814457e-17,0.0
11,return_to_launch,True,9.898726463317871,0.1090749086918412,-0.08381257206201553,-0.06980536133050919,-9.898726463317871,-0.07692667096853256,0.023295791819691658,91.00364685058594,1.3877787807814457e-17,1.3877787807814457e-17,0.0
12,return_to_launch,True,9.899312019348145,0.07901908449903415,-0.05876956135034561,-0.05282191187143326,-9.899312019348145,0.2880663275718689,0.17889951169490814,90.91261291503906,6.938893903907228e-18,0.0,0.0
13,return_to_launch,True,9.878829002380371,0.0509070198346604,-0.029594415798783302,-0.04142095148563385,-9.878829002380371,0.5546114444732666,0.17068322002887726,90.83976745605469,6.938893903907228e-18,1.3877787807814457e-17,0.0
14,return_to_launch,True,9.876286506652832,0.04922846122961743,-0.016059722751379013,-0.04653521999716759,-9.876286506652832,0.6298450231552124,-0.07790224999189377,90.86224365234375,-0.016756288310142864,-0.00025218426459761023,0.0
15,return_to_launch,True,9.858743667602539,0.0498585041684003,0.014867585152387619,-0.04759018123149872,-9.858743667602539,1.0560498237609863,-0.1768943816423416,90.8036880493164,0.014197200008502726,0.00019915722372637612,0.0
16,return_to_launch,True,9.850545883178711,0.04616542020054028,0.028471773490309715,-0.03634011745452881,-9.850545883178711,0.49947842955589294,-0.047408852726221085,90.8330307006836,0.0,0.0,0.0
17,return_to_launch,True,9.852248191833496,0.03286514415033273,0.018389718607068062,-0.027238501235842705,-9.852248191833496,0.5949623584747314,0.016476549208164215,90.94974517822266,0.0,3.469446951953614e-18,0.0
18,return_to_launch,True,9.846170425415039,0.026341006778855893,-0.014004119671881199,-0.022309936583042145,-9.846170425415039,0.3405305743217468,-0.12024533003568649,91.01280212402344,-0.014394028922660389,-0.0002544658924611108,0.0
19,return_to_launch,True,9.84465503692627,0.024043955149999803,-0.021040190011262894,-0.011637103743851185,-9.84465503692627,0.04162056744098663,-0.10777248442173004,90.96324157714844,0.00018965694337158556,-0.011280159511130948,0.0
20,return_to_launch,True,9.781682968139648,0.008774699218789829,0.0025830345693975687,0.008385897614061832,-9.781682968139648,0.04347679764032364,0.07378869503736496,90.95906829833984,0.0025830345693975687,0.008385897614061832,0.0
21,return_to_launch,True,9.691644668579102,0.017187940915956254,0.014649552293121815,0.008989768102765083,-9.691644668579102,0.4250330924987793,0.19144679605960846,91.01807403564453,0.014649552293121815,0.008989768102765083,0.0
22,return_to_launch,True,9.391585350036621,0.023906972771757937,0.023072121664881706,-0.00626263115555048,-9.391585350036621,0.5664973855018616,-0.06642605364322662,91.03682708740234,0.00012085865635375406,-0.006678003618250489,0.0
23,return_to_launch,True,9.02897834777832,0.04840607253306933,0.039974942803382874,-0.02729746885597706,-9.02897834777832,0.4085555672645569,-0.2942264974117279,91.03466033935547,0.0,3.469446951953614e-18,0.0
24,return_to_launch,True,8.833294868469238,0.05553576099373832,0.044136788696050644,-0.033707041293382645,-8.833294868469238,0.7191656231880188,-0.18509243428707123,91.00811767578125,6.938893903907228e-18,0.0,0.0
25,return_to_launch,True,8.485135078430176,0.06736071559173609,0.0390256866812706,-0.054904114454984665,-8.485135078430176,0.6007638573646545,-0.5296745300292969,90.99586486816406,-6.938893903907228e-18,6.938893903907228e-18,0.0
